Fertilisation Rotation PdsGrains
1 A 27.6
1 A 16.3
1 A 11.4
1 A 38.2
1 A 38.1
1 A 24.7
1 A 22.7
1 A 21.7
1 A 20.6
1 A 19.8
1 B 32.1
1 B 28.5
1 B 19.4
1 B 39.2
1 B 21.8
1 B 23.6
1 B 14.0
1 B 22.3
1 B 18.3
1 B 20.8
1 C 27.8
1 C 33.4
1 C 33.0
1 C 28.9
1 C 24.6
1 C 28.3
1 C 40.6
1 C 20.3
1 C 26.7
1 C 22.8
2 A 13.4
2 A 19.0
2 A 27.8
2 A 17.4
2 A 8.3
2 A 16.2
2 A 3.4
2 A 9.6
2 A 24.8
2 A 18.2
2 B 15.5
2 B 16.7
2 B 29.7
2 B 26.8
2 B 8.7
2 B 22.6
2 B 34.6
2 B 14.4
2 B 12.5
2 B 16.9
2 C 23.5
2 C 31.2
2 C 26.1
2 C 41.2
2 C 35.3
2 C 23.4
2 C 44.1
2 C 35.3
2 C 31.6
2 C 25.8
